,question,student answer,model answer,score,correct
0,What is the role of a prototype program in problem solving?,High risk problems are address in the prototype program to make sure that the program is feasible. A prototype may also be used to show a company that the software can be possibly programmed.,To simulate the behaviour of portions of the desired software product.,3.5,0
1,What is the role of a prototype program in problem solving?,To simulate portions of the desired final product with a quick and easy program that does a small specific job. It is a way to help see what the problem is and how you may solve it in the final project.,To simulate the behaviour of portions of the desired software product.,5.0,1
2,What is the role of a prototype program in problem solving?,A prototype program simulates the behaviors of portions of the desired software product to allow for error checking.,To simulate the behaviour of portions of the desired software product.,4.0,1
3,What is the role of a prototype program in problem solving?,"Defined in the Specification phase a prototype stimulates the behavior of portions of the desired software product. Meaning, the role of a prototype is a temporary solution until the program itself is refined to be used extensively in problem solving.",To simulate the behaviour of portions of the desired software product.,5.0,1
4,What is the role of a prototype program in problem solving?,It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.,To simulate the behaviour of portions of the desired software product.,3.0,0
5,What is the role of a prototype program in problem solving?,To find problem and errors in a program before it is finalized,To simulate the behaviour of portions of the desired software product.,2.0,0
6,What is the role of a prototype program in problem solving?,"To address major issues in the creation of the program. There is no way to account for all possible bugs in the program, but it is possible to prove the program is tangible.",To simulate the behaviour of portions of the desired software product.,2.5,0
7,What is the role of a prototype program in problem solving?,you can break the whole program into prototype programs to simulate parts of the final program,To simulate the behaviour of portions of the desired software product.,5.0,1
8,What is the role of a prototype program in problem solving?,To provide an example or model of how the finished program should perfom. Provides forsight of some of the challanges that would be encountered. Provides opportunity To introduce changes To the finished program.,To simulate the behaviour of portions of the desired software product.,3.5,0
9,What is the role of a prototype program in problem solving?,Simulating the behavior of only a portion of the desired software product.,To simulate the behaviour of portions of the desired software product.,5.0,1
10,What is the role of a prototype program in problem solving?,A program that stimulates the behavior of portions of the desired software product.,To simulate the behaviour of portions of the desired software product.,5.0,1
11,What is the role of a prototype program in problem solving?,A program that simulates the behavior of portions of the desired software product.,To simulate the behaviour of portions of the desired software product.,5.0,1
12,What is the role of a prototype program in problem solving?,To lay out the basics and give you a starting point in the actual problem solving.,To simulate the behaviour of portions of the desired software product.,2.0,0
13,What is the role of a prototype program in problem solving?,To simulate problem solving for parts of the problem,To simulate the behaviour of portions of the desired software product.,4.5,1
